al	dhtr-id	source	obvil-id	author-short	author gender	author-birth	author-death	author-name	author-gender	title-short	title-full	year-ref	year-creation	genre	available-print	editor	(all)available-digital	(all)available-google 	format	url Gallica	Full text	double-keying	for ocr model	Jiangsu	Teilkorpus description double	Teilkorpus Pilot	TEI-XML vorhanden?	protagonists	narration	setting-place	Bibliographie-ID	Form (tei-Header)	Wikidata-ID (tei-Header)	Viaf-ID (tei-Header)	
Bardou_Laurent	Bardou_Laurent1	obvil-romans	5544596.xml	Bardou		1729	1803	Jean Bardou	male	roman	Histoire de Laurent Marcel, ou L'observateur sans préjugés — Tome 1	1781		roman	unter Vorbehalt: https://www.amazon.fr/Histoire-Laurent-Marcel-lObservateur-préjugés/dp/2405288648 ISBN: 978-2405288641				txt	https://gallica.bnf.fr/ark:/12148/bpt6k55445965		0		batch5							79.10	autodiegetic		22151703	
Bardou_Laurent	Bardou_Laurent2	obvil-romans	5546032.xml	Bardou		1729	1803	Jean Bardou	male	roman	Histoire de Laurent Marcel, ou L'observateur sans préjugés — Tome 2	1781		roman	unter Vorbehalt: https://www.amazon.fr/Histoire-Laurent-Marcel-lObservateur-préjugés/dp/2339465729/ ISBN: 978-2339465729				txt	https://gallica.bnf.fr/ark:/12148/bpt6k55460324		0		forocr							79.10	autodiegetic		22151703	
Bardou_Laurent	Bardou_Laurent3	obvil-romans	5546031.xml	Bardou		1729	1803	Jean Bardou	male	roman	Histoire de Laurent Marcel, ou L'observateur sans préjugés — Tome 3	1781		roman	unter Vorbehalt: https://www.amazon.fr/Histoire-Laurent-Marcel-lObservateur-préjugés/dp/2339456053 ISBN: 978-2339456055				txt	https://gallica.bnf.fr/ark:/12148/bpt6k5546031q		0		forocr							79.10	autodiegetic		22151703	
Bardou_Laurent	Bardou_Laurent4	obvil-romans	5544712.xml	Bardou		1729	1803	Jean Bardou	male	roman	Histoire de Laurent Marcel, ou L'observateur sans préjugés — Tome 4	1781		roman	unter Vorbehalt: https://www.amazon.fr/Histoire-Laurent-Marcel-lObservateur-préjugés/dp/2339446384 ISBN: 978-2339446384				txt	https://gallica.bnf.fr/ark:/12148/bpt6k55447125		0		forocr							79.10	autodiegetic		22151703	
Beauharnais_Abailard	Beauharnais_Abailard	liste2016	---	Beauharnais		1737	1813	Fanny de Beauharnais	female	Abailard	AbailardSupposé	1780	1780				Gallica		txt	gallica		0						92.94%				heterodiegetic	Q446559	66475912	
Beauharnais_Lettres	Beauharnais_Lettres			Beauharnais		1737	1813	Fanny de Beauharnais	female	Lettres	Lettres de Stéphanie, roman historique	1778	1778									1		batch1			ja				80.11	epistolary	Q446559	66475912	
Beaumont_Clarice	Beaumont_Clarice	liste2016	---	Beaumont		1711	1780	Jeanne-Marie Leprince de Beaumont	female	Clarice	La Nouvelle Clarice, Tome 1	1766	1766	roman		pdf	archive.org schlechtes OCR ; evt. mit Gallica ausprobieren, aber dort ist der Scan auch nicht gut 		txt	Pt 1: https://gallica.bnf.fr/ark:/12148/bpt6k6550212p 		1		batch2	ja		ja (Clarice1)				67.36	epistolary	Q466788	31999252	
Beaumont_Clarice	Beaumont_Clarice2	liste2016	---	Beaumont		1711	1780	Jeanne-Marie Leprince de Beaumont	female	Clarice	La Nouvelle Clarice, Tome 2	1766	1766	roman		pdf	archive.org schlechtes OCR ; evt. mit Gallica ausprobieren, aber dort ist der Scan auch nicht gut 		txt	Pt 2: https://archive.org/details/lanouvelleclari00madagoog	EPUB:schlechtes OCR: https://archive.org/details/lanouvelleclari00madagoog	0		batch2	ja						67.36	epistolary	Q466788	31999252	
Bellin_Célestine	Bellin_Celestine1	liste2016	---	Bellin		1774	1847	Louis François Marie Bellin de La Liborlière	male	Célestine	Célestine, ou Les Époux sans l’être, Tome 1	1798	1798	roman	978-2812402302					tome1: https://gallica.bnf.fr/ark:/12148/bpt6k825323 		0									98.28	heterodiegetic	Q3261946	9966915	
Bellin_Célestine	Bellin_Celestine2	liste2016	---	Bellin		1774	1847	Louis François Marie Bellin de La Liborlière	male	Célestine	Célestine, ou Les Époux sans l’être, Tome 2	1798	1798	roman	978-2812402302					tome2: https://gallica.bnf.fr/ark:/12148/bpt6k82533f 		0									98.28	heterodiegetic	Q3261946	9966915	
Bellin_Célestine	Bellin_Celestine3	liste2016	---	Bellin		1774	1847	Louis François Marie Bellin de La Liborlière	male	Célestine	Célestine, ou Les Époux sans l’être, Tome 3	1798	1798	roman	978-2812402302					tome 3: https://gallica.bnf.fr/ark:/12148/bpt6k82534s 		0									98.28	heterodiegetic	Q3261946	9966915	
Bellin_Célestine	Bellin_Celestine4	liste2016	---	Bellin		1774	1847	Louis François Marie Bellin de La Liborlière	male	Célestine	Célestine, ou Les Époux sans l’être, Tome 4	1798	1798	roman	978-2812402302					tome4: https://gallica.bnf.fr/ark:/12148/bpt6k825354		0									98.28	heterodiegetic	Q3261946	9966915	
Bellin_NuitAnglaise	Bellin_NuitAnglaise	liste2016	---	Bellin		1774	1847	Louis François Marie Bellin de La Liborlière	male	NuitAngaise	La Nuit anglaise	1799	1799	roman	1 ISBN : 9782914777315	print				???		0			ja						99.44	heterodiegetic	Q3261946	9966915	
Benoist_Elisabeth	Benoist_Elisabeth3			Benoist		1724	1809	Françoise-Albine Puzin de La Martinière Benoist	female	Elisabeth	Elisabeth: Roman Par Madame ***	1766	1766									1		batch1			ja				66.11	epistolary	Q3086371	61578188	
Benouville_Pensees	Benouville_Pensees	obvil-romans	6260293.xml	Bénouville		N/A	N/A	Bonne-Charlotte de Bénouville	female	roman	Les pensées errantes ; avec quelques lettres d'un Indien	1758		roman	https://classiques-garnier.com/pensees-errantes-avec-quelques-lettres-d-un-indien-en.html		schlechter scan: https://gallica.bnf.fr/ark:/12148/bpt6k6260293p		txt	https://gallica.bnf.fr/ark:/12148/bpt6k6260293p		1					ja				58.80	epistolary		315731828	
Bernardin_Arcadie	Bernardin_Arcadie	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	PierreAbraham	PierreAbraham	1883	posthum1883						txt	Gallica		0						schlechteQualität			88101	heterodiegetic	Q361976	59088938	
Bernardin_CaféSurate	Bernardin_CafeSurate	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	CaféSurate	Café Surate	1790	1790				als Teil einer Gesamtausgabe: https://catalog.hathitrust.org/Record/011620680		pdf	als Teil einer Gesamtausgabe ab S. 317: https://gallica.bnf.fr/ark:/12148/bpt6k202512k		0									92.38	heterodiegetic	Q361976	59088938	
